OTU ID,Nadd,Nlevel,Block,Year,B,R,IN,PH,bac,DOC,Cu,Mn,Zn,Fe
Bac1918,Ncont,2,B2,2019,187.3,11,3.52,7.75,2351,40.51,0.2726,5.814,0.4976,7.0832
Bac1933,Ncont,2,B3,2019,296.55,11,4.38,7.86,2378,55.66,0.1954,6.006,0.332,7.1292
Bac1948,Ncont,2,B4,2019,341.04,5,7.79,7.62,2571,60.73,0.2358,6.278,0.6006,9.8592
Bac1963,Ncont,2,B5,2019,184.15,10,3.74,6.68,2224,35.86,0.3208,14.318,0.4494,14.9132
Bac1904,Ncont,5,B1,2019,214.91,14,5.46,6.41,2500,50.54,0.4066,18.108,0.39,22.5392
Bac1919,Ncont,5,B2,2019,163.79,11,27.19,6.81,2562,43.92,0.3594,12.908,0.269,16.3132
Bac1934,Ncont,5,B3,2019,170.67,9,5.35,6.86,2433,59.35,0.272,13.058,0.2784,16.9832
Bac1949,Ncont,5,B4,2019,239.14,10,7.78,7.6,2510,68.6,0.2722,7.926,0.4258,10.9892
Bac1964,Ncont,5,B5,2019,181.55,12,6.19,6.21,2594,47.17,0.4042,19.98,0.4506,21.3992
Bac1905,Ncont,10,B1,2019,218.51,8,68.93,5.58,2484,48.19,0.4664,34.3,0.3722,27.0592
Bac1920,Ncont,10,B2,2019,242.1,9,17.32,6.44,2587,44.27,0.4212,19.302,0.2404,18.6452
Bac1935,Ncont,10,B3,2019,503.81,15,10.15,6.82,2405,68.83,0.321,13.336,0.3386,16.7452
Bac1950,Ncont,10,B4,2019,235.33,10,20.66,6.22,2451,59.36,0.3248,22.18,0.4284,22.9792
Bac1965,Ncont,10,B5,2019,320.87,7,25.24,5.48,2367,56.82,0.4794,44.16,0.5018,36.4192
Bac1906,Ncont,15,B1,2019,261.81,9,49.1,5.66,2380,53.95,0.4736,35.26,0.3252,28.1392
Bac1921,Ncont,15,B2,2019,229.69,6,68.46,6.99,2513,64.35,0.3782,18.434,0.228,23.5992
Bac1936,Ncont,15,B3,2019,254.67,8,61.81,7.06,2323,110.1,0.3308,21.18,0.2538,27.6792
Bac1951,Ncont,15,B4,2019,263.04,7,27.85,6.18,2271,74.69,0.3316,24.96,0.336,29.7592
Bac1966,Ncont,15,B5,2019,279.32,6,23.35,5.64,2265,45.49,0.472,37.68,0.3624,32.3192
Bac1907,Ncont,20,B1,2019,213.65,6,170.07,4.75,1996,62.2,0.4998,61,0.3572,44.4392
Bac1922,Ncont,20,B2,2019,285.92,6,355.76,6.64,2165,58.73,0.4032,28.18,0.205,25.5992
Bac1937,Ncont,20,B3,2019,614.23,7,86.99,6.01,2359,60.86,0.417,33.16,0.3714,35.2192
Bac1952,Ncont,20,B4,2019,287.05,5,78.77,5.94,2219,74.9,0.3586,32.08,0.353,36.7992
Bac1967,Ncont,20,B5,2019,277.79,9,117.94,5.09,2174,71.93,0.4594,57.3,0.42,41.2992
Bac1908,Ncont,50,B1,2019,351.57,3,587.75,5.15,2171,46.92,0.4774,18.588,0.4244,48.3192
Bac1923,Ncont,50,B2,2019,471.16,3,350.19,4.64,776,64.24,0.4582,21.74,0.2378,55.8392
Bac1938,Ncont,50,B3,2019,488.53,3,420.02,5.37,1557,67.6,0.4102,33.6,0.2748,45.4792
Bac1953,Ncont,50,B4,2019,596.74,2,272.18,4.27,1029,67.91,0.3732,19.46,0.229,55.5192
Bac1968,Ncont,50,B5,2019,478.12,4,518.11,4.67,850,58.87,0.4102,24.02,0.247,58.1392
